id,title,author,type,school,timeframe,description,image_1_url,image_2_url,image_3_url,image_4_url,image_5_url,image_6_url,image_7_url,image_8_url,image_9_url,image_10_url,gt
1,A View of Souda Island,"VELDE, Peter van den",landscape,Flemish,1651-1700,"The painting shows a view of Souda Island, Crete with a Turkish galley and two Dutch ships.Souda is situated on the NW coast of Crete. On Souda Island the Venetians built a castle in 1573 to reinforce the defence of the port of Souda and to control the Gulf entrance. The construction works were finished within a year but until the Turkish invasion of Crete in 1645 improvements were regularly made",42377-souda.jpg,42512-cathedra.jpg,09373-leaping.jpg,08420-figures.jpg,35839-valkhof1.jpg,19686-westerke.jpg,29474-landsuns.jpg,04410-landscap.jpg,18726-guard106.jpg,04981-moonlit.jpg,1
2,Adoration of the Magi,"MANTEGNA, Andrea",religious,Italian,1451-1500,"Between 1490 and 1506, the year he died, Mantegna painted several devotional paintings in which the main figures are represented as reliefs standing out against a mostly dark background. Inspired by reliefs on classical tombs, these figures are shown partially hidden behind stone balustrades or a frame.The subject of Adoration of the Magi was one of the most popular in all fifteenth-century art, especially for the opportunities it presented for the display of rich costumes and accessories, and of numerous subordinate figures with horses and other animals in an extensive landscape. Mantegna, however, restricts his composition to just six figures - with the three magi on the right converging on the three members of the Holy Family on the left - which he shows in half-length, and hence, too, in powerfully expressive close-up. Four decades earlier, when still working as a young man in Padua, Mantegna had introduced this type of half-length devotional narrative into Italian painting with his Presentation in the Temple.It was suggested that this painting was executed for Isabella d'Este, the consort of Marquis Francesco Gonzaga",14788-giustina.jpg,24109-95magi.jpg,17505-14virgin.jpg,16385-chris13.jpg,10534-madonna.jpg,08864-12peter.jpg,02764-eccehomo.jpg,23189-32monaco.jpg,34269-phaeton.jpg,24000-zeno04.jpg,2
3,Allegorical Scene,"VOS, Simon de",mythological,Flemish,1601-1650,"The subject of the scene is an illustration of the popular adage ""Sine Baccho et Cerere friget Venus"" (Without Ceres and Bacchus, Venus would Freeze): without food (Ceres, the Roman god of agriculture) and wine (Bacchus), love (Venus) is left cold",07957-farnes01.jpg,36111-hercules.jpg,05692-sun1.jpg,15337-jupiter.jpg,29406-venus_c.jpg,09498-1wedding.jpg,35516-48mythol.jpg,16883-sheba.jpg,40149-birthven.jpg,43562-allegory.jpg,10
4,An Elegant Company,"JANNECK, Franz Christoph",genre,Austrian,1701-1750,"The picture shows an elegant company dining and merrymaking in a wooded landscape, near the banks of a river",08667-01soap.jpg,20578-company5.jpg,04578-pendant2.jpg,29311-painter.jpg,09848-courb111.jpg,04586-young_gi.jpg,06918-elegantw.jpg,21435-fetewood.jpg,22942-09ridott.jpg,03173-spicesho.jpg,2
5,Annunciation,"BERRUGUETE, Pedro",religious,Spanish,1451-1500,This is a late work of the artist,43957-2luke.jpg,05008-findmose.jpg,32539-mad_chil.jpg,32267-19gather.jpg,00781-3predel4.jpg,25224-karlstei.jpg,01094-christ.jpg,37004-service.jpg,44046-1diptych.jpg,04389-annuncia.jpg,10
6,Apotheosis of St Charles Borromeo,"ROTTMAYR, Johann Michael",religious,Austrian,1701-1750,"This painting is an oil sketch (modello) for the principal altarpiece in the east transept of the Kollegienkirche in Salzburg, built by Johann Bernhard Fischer von Erlach (1656-1723) between 1696 and 1707. This altarpiece is one of the most important works from Rottmayr's later period. The modello is a smaller version of the six-meter high altarpiece and reproduces the elongation and distortion of the figures which create the perspective of the altarpiece itself.St Charles Borromeo was the intercessor for people stricken with the plague. In response to an outbreak of the plague epidemic in the city of Salzburg, processions are held and Holy Communion is administered following the example of St Charles Borromeo. Rottmayr defined the location of the event by depicting recognisable features of the Salzburg landscape and architecture.Rottmayr's style of painting was shaped by and bears the imprint of his schooling in the Italian, and above all Venetian, art of painting in the sixteenth century",36799-carrying.jpg,35316-sketch1.jpg,25926-cremona1.jpg,05439-110madon.jpg,17474-3malvag4.jpg,00954-02virgin.jpg,37575-cleopatr.jpg,04511-virgin_c.jpg,40266-organ_2.jpg,16534-s_jerome.jpg,2
7,Bagpipe Player,"BIJLERT, Jan van",genre,Dutch,1601-1650,"It has been suggested that this panel may be the pendant to Bijlert's signed Girl with a Cat, now in the Walters Art Museum, Baltimore. The sitter in the Baltimore picture is depicted in a similar format and faces left, mirroring the present figure.The panel is signed upper right corner: J Bijlert. fe",08667-01soap.jpg,20578-company5.jpg,04578-pendant2.jpg,29311-painter.jpg,09848-courb111.jpg,04586-young_gi.jpg,06918-elegantw.jpg,21435-fetewood.jpg,22942-09ridott.jpg,03173-spicesho.jpg,3
8,Birth of Venus,"TRMOLI?RES, Pierre-Charles",mythological,French,1701-1750,The influence of Boucher can be observed in this painting,07957-farnes01.jpg,36111-hercules.jpg,05692-sun1.jpg,15337-jupiter.jpg,29406-venus_c.jpg,09498-1wedding.jpg,35516-48mythol.jpg,16883-sheba.jpg,40149-birthven.jpg,43562-allegory.jpg,9
9,Brunette with Bare Breasts,"MANET, Edouard",portrait,French,1851-1900,"The 1870s were rich in female models for Manet: the Brunette with Bare Breasts, the Blonde with Bare Breasts and the Sultana testify to it",23845-3manet04.jpg,19213-77post.jpg,13403-15arnol.jpg,12490-05self26.jpg,17551-09portra.jpg,13646-23ferenc.jpg,37416-portlady.jpg,34215-jesuit.jpg,29860-margaret.jpg,17546-04portra.jpg,1
10,Christ at Prayer on the Mount of Olives,"COYPEL, Nol",religious,French,1651-1700,"This unusual representation of Christ at Prayer on the Mount of Olives is a reduced version of a painting by No&#235;l Coypel exhibited at the so-called Salon of 1704, an exhibition of paintings and pastels by members of the Acadmie Royale des Beaux-Arts, held in the Grande Galerie du Louvre.",18104-2tosse1.jpg,24259-judith.jpg,10016-m_olives.jpg,31268-adoratio.jpg,36075-5window.jpg,25051-double1.jpg,42510-hagar_is.jpg,35665-deesis2.jpg,42791-1sacris.jpg,36299-man_sorr.jpg,3
